First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
C,Ryan Nugent-Hopkins (13707578),Ryan Nugent-Hopkins,13707578,C/UTIL,4800,STL@EDM 11/06/2019 08:30PM ET,EDM,8.48
D,Darnell Nurse (13707746),Darnell Nurse,13707746,D/UTIL,4800,STL@EDM 11/06/2019 08:30PM ET,EDM,9.42
D,Filip Hronek (13707748),Filip Hronek,13707748,D/UTIL,4600,DET@NYR 11/06/2019 08:00PM ET,DET,8.91
C,Filip Chytil (13707580),Filip Chytil,13707580,C/UTIL,4500,DET@NYR 11/06/2019 08:00PM ET,NYR,10.9
RW,Pavel Buchnevich (13707638),Pavel Buchnevich,13707638,W/UTIL,4500,DET@NYR 11/06/2019 08:00PM ET,NYR,7.07
RW,Andreas Athanasiou (13707640),Andreas Athanasiou,13707640,W/UTIL,4400,DET@NYR 11/06/2019 08:00PM ET,DET,6.27
D,Danny DeKeyser (13707750),Danny DeKeyser,13707750,D/UTIL,4400,DET@NYR 11/06/2019 08:00PM ET,DET,9.18
RW,Kaapo Kakko (13707642),Kaapo Kakko,13707642,W/UTIL,4300,DET@NYR 11/06/2019 08:00PM ET,NYR,6.08
LW,Jaden Schwartz (13707644),Jaden Schwartz,13707644,W/UTIL,4200,STL@EDM 11/06/2019 08:30PM ET,STL,8.47
D,Colton Parayko (13707752),Colton Parayko,13707752,D/UTIL,4200,STL@EDM 11/06/2019 08:30PM ET,STL,7.98
D,Brady Skjei (13707754),Brady Skjei,13707754,D/UTIL,4000,DET@NYR 11/06/2019 08:00PM ET,NYR,7.66
D,Mike Green (13707756),Mike Green,13707756,D/UTIL,3900,DET@NYR 11/06/2019 08:00PM ET,DET,7.54
RW,Alex Chiasson (13707646),Alex Chiasson,13707646,W/UTIL,3700,STL@EDM 11/06/2019 08:30PM ET,EDM,3.4
D,Justin Faulk (13707758),Justin Faulk,13707758,D/UTIL,3700,STL@EDM 11/06/2019 08:30PM ET,STL,5.84
C,Brett Howden (13707582),Brett Howden,13707582,C/UTIL,3600,DET@NYR 11/06/2019 08:00PM ET,NYR,6.21
RW,Zack Kassian (13707648),Zack Kassian,13707648,W/UTIL,3600,STL@EDM 11/06/2019 08:30PM ET,EDM,5.67
D,Adam Larsson (13707760),Adam Larsson,13707760,D/UTIL,3600,STL@EDM 11/06/2019 08:30PM ET,EDM,9.7
D,Patrik Nemeth (13707762),Patrik Nemeth,13707762,D/UTIL,3500,DET@NYR 11/06/2019 08:00PM ET,DET,6.52
RW,Sammy Blais (13707650),Sammy Blais,13707650,W/UTIL,3500,STL@EDM 11/06/2019 08:30PM ET,STL,6.91
RW,Jesper Fast (13707652),Jesper Fast,13707652,W/UTIL,3400,DET@NYR 11/06/2019 08:00PM ET,NYR,5.96
D,Adam Fox (13707764),Adam Fox,13707764,D/UTIL,3400,DET@NYR 11/06/2019 08:00PM ET,NYR,5.32
C,Tyler Bozak (13707584),Tyler Bozak,13707584,C/UTIL,3400,STL@EDM 11/06/2019 08:30PM ET,STL,4.96
C,Valtteri Filppula (13707586),Valtteri Filppula,13707586,C/UTIL,3300,DET@NYR 11/06/2019 08:00PM ET,DET,3.92
RW,Luke Glendening (13707654),Luke Glendening,13707654,W/UTIL,3300,DET@NYR 11/06/2019 08:00PM ET,DET,6.44
D,Ethan Bear (13707766),Ethan Bear,13707766,D/UTIL,3300,STL@EDM 11/06/2019 08:30PM ET,EDM,5.31
D,Libor Hajek (13707768),Libor Hajek,13707768,D/UTIL,3200,DET@NYR 11/06/2019 08:00PM ET,NYR,5.25
